Year,Crime_Rate,State,State
1990,10.4774, TN,Tennessee
1990,14.0641, TX,Texas
1990,3.0183, UT,Utah
1990,2.3101, VT,Vermont
1990,8.8083, VA,Virginia
1990,4.8904, WA,Washington
1990,5.6873, WV,West Virginia
1990,4.5996, WI,Wisconsin
1990,4.8502, WY,Wyoming
1991,11.4698, AL,Alabama
1991,7.3684, AK,Alaska
1991,7.76, AZ,Arizona
1991,11.1298, AR,Arkansas
1991,12.7024, AR,Arkansas
1991,5.8928, CO,Colorado
1991,5.6822, CT,Connecticut
1991,5.4412, DE,Delaware
1991,80.602, DC,Washington
1991,9.3997, FL,Florida
1991,12.819, GA,Georgia
1991,3.9648, HI,Hawaii
1991,1.8287, ID,Idaho
1991,11.2622, IL,Illinois
1991,7.5401, IN,Indiana
1991,2.0394, IA,Iowa
1991,6.1323, KS,Kansas
1991,6.8139, KY,Kentucky
1991,16.9332, LA,Louisiana
1991,1.2146, ME,Maine
1991,11.7078, MD,Maryland
1991,4.1528, MA,Massachusetts
1991,12.8086, MI,Michigan
1991,10.7707, MI,Michigan
1991,2.9558, MN,Minnesota
1991,10.5273, MO,Missouri
1991,2.599, MT,Montana
1991,3.2643, NE,Nebraska
1991,11.838, NV,Nevada
1991,3.6199, NH,New Hampshire
1991,5.232, NJ,New Jersey
1991,10.5297, NM,New Mexico
1991,14.2375, NY,New York
1991,11.4146, NC,North Carolina
1991,1.1024, ND,North Dakota
1991,7.1579, OH,Ohio
1991,7.2441, OK,Oklahoma
1991,4.5517, OR,Oregon
1991,6.3373, PA,Pennsylvania
1991,11.2921, SC,South Carolina
1991,1.707, SD,South Dakota
1991,11.0438, TN,Tennessee
1991,15.2862, TX,Texas
1991,2.9379, UT,Utah
1991,2.1164, VT,Vermont
1991,9.2746, VA,Virginia
1991,4.2049, WA,Washington
1991,6.1632, WV,West Virginia
1991,4.8234, WI,Wisconsin
1991,3.2609, WY,Wyoming
1992,11.001, AL,Alabama
1992,7.4957, AK,Alaska
1992,8.142, AZ,Arizona
1992,10.7962, AR,Arkansas
1992,12.7029, AR,Arkansas
1992,6.2248, CO,Colorado
1992,5.0594, CT,Connecticut
1992,4.6444, DE,Delaware
1992,75.2122, DC,Washington
1992,8.9561, FL,Florida
1992,10.9762, GA,Georgia
1992,3.6207, HI,Hawaii
1992,3.4677, ID,Idaho
1992,11.3662, IL,Illinois
1992,8.195, IN,Indiana
1992,1.5647, IA,Iowa
1992,5.9849, KS,Kansas
1992,5.7523, KY,Kentucky
1992,17.4248, LA,Louisiana
1992,1.7004, ME,Maine
1992,12.1434, MD,Maryland
1992,3.5679, MA,Massachusetts
1992,9.9396, MI,Michigan
1992,12.2418, MI,Michigan
1992,3.3482, MN,Minnesota
1992,10.5334, MO,Missouri
1992,2.9126, MT,Montana
1992,4.2341, NE,Nebraska
1992,10.9269, NV,Nevada
1992,1.6202, NH,New Hampshire
1992,5.0969, NJ,New Jersey
1992,8.9184, NM,New Mexico
1992,13.2292, NY,New York
1992,10.5655, NC,North Carolina
1992,1.8868, ND,North Dakota
1992,6.5723, OH,Ohio
1992,6.538, OK,Oklahoma
1992,4.6691, OR,Oregon
1992,6.212, PA,Pennsylvania
1992,10.3525, SC,South Carolina
1992,0.5626, SD,South Dakota
1992,10.3503, TN,Tennessee
1992,12.6812, TX,Texas
1992,2.9785, UT,Utah
1992,2.1053, VT,Vermont
1992,8.8443, VA,Virginia
1992,5.0234, WA,Washington
1992,6.3466, WV,West Virginia
1992,4.3539, WI,Wisconsin
1992,3.6481, WY,Wyoming
1993,11.5596, AL,Alabama
1993,9.015, AK,Alaska
1993,8.6128, AZ,Arizona
1993,10.1898, AR,Arkansas
1993,13.1236, AR,Arkansas
1993,5.7768, CO,Colorado
1993,6.2862, CT,Connecticut
1993,5, DE,Delaware
1993,78.5467, DC,Washington
1993,8.948, FL,Florida
1993,11.4067, GA,Georgia
1993,3.8396, HI,Hawaii
1993,2.9117, ID,Idaho
1993,11.3875, IL,Illinois
1993,7.5267, IN,Indiana
1993,2.3454, IA,Iowa
1993,6.3611, KS,Kansas
1993,6.5717, KY,Kentucky
1993,20.3492, LA,Louisiana
1993,1.6142, ME,Maine
1993,12.7291, MD,Maryland
1993,3.8756, MA,Massachusetts
1993,9.8438, MI,Michigan
1993,13.5074, MI,Michigan
1993,3.4315, MN,Minnesota
1993,11.2724, MO,Missouri
1993,2.9797, MT,Montana
1993,3.9203, NE,Nebraska
1993,10.3672, NV,Nevada
1993,2.0444, NH,New Hampshire
1993,5.3052, NJ,New Jersey
1993,8.0446, NM,New Mexico
1993,13.2989, NY,New York
1993,11.3031, NC,North Carolina
1993,1.7323, ND,North Dakota
1993,6.0139, OH,Ohio
1993,8.4494, OK,Oklahoma
1993,4.6174, OR,Oregon
1993,6.831, PA,Pennsylvania
1993,10.3486, SC,South Carolina
1993,3.3566, SD,South Dakota
1993,10.2177, TN,Tennessee
1993,11.9073, TX,Texas
1993,3.1183, UT,Utah
1993,3.6458, VT,Vermont
1993,8.3038, VA,Virginia
1993,5.157, WA,Washington
1993,6.9231, WV,West Virginia
1993,4.4065, WI,Wisconsin
1993,3.4043, WY,Wyoming
1994,11.8749, AL,Alabama
1994,6.2706, AK,Alaska
1994,10.454, AZ,Arizona
1994,11.9853, AR,Arkansas
1994,11.7814, AR,Arkansas
1994,5.4431, CO,Colorado
1994,6.5649, CT,Connecticut
1994,4.6742, DE,Delaware
1994,70, DC,Washington
1994,8.3495, FL,Florida
1994,9.9646, GA,Georgia
1994,4.2409, HI,Hawaii
1994,3.5305, ID,Idaho
1994,11.7257, IL,Illinois
1994,7.8755, IN,Indiana
1994,1.6614, IA,Iowa
1994,6.6562, KS,Kansas
1994,6.3758, KY,Kentucky
1994,19.8378, LA,Louisiana
1994,2.2581, ME,Maine
1994,11.5661, MD,Maryland
1994,3.5425, MA,Massachusetts
1994,15.3241, MI,Michigan
1994,9.762, MI,Michigan
1994,3.2187, MN,Minnesota
1994,10.4964, MO,Missouri
1994,3.271, MT,Montana
1994,3.1423, NE,Nebraska
1994,11.6678, NV,Nevada
1994,1.4072, NH,New Hampshire
1994,5.0101, NJ,New Jersey
1994,10.7013, NM,New Mexico
1994,11.0958, NY,New York
1994,10.9194, NC,North Carolina
1994,0.1567, ND,North Dakota
1994,5.9629, OH,Ohio
1994,6.9368, OK,Oklahoma
1994,4.8607, OR,Oregon
1994,5.9077, PA,Pennsylvania
1994,9.6343, SC,South Carolina
1994,1.387, SD,South Dakota
1994,9.314, TN,Tennessee
1994,11.0023, TX,Texas
1994,2.935, UT,Utah
1994,1.0345, VT,Vermont
1994,8.7149, VA,Virginia
1994,5.5025, WA,Washington
1994,5.4336, WV,West Virginia
1994,4.4667, WI,Wisconsin
1994,3.3613, WY,Wyoming
1995,11.1686, AL,Alabama
1995,9.106, AK,Alaska
1995,10.4078, AZ,Arizona
1995,10.4267, AR,Arkansas
1995,11.1779, AR,Arkansas
1995,5.7646, CO,Colorado
1995,4.5802, CT,Connecticut
1995,3.4868, DE,Delaware
1995,64.9819, DC,Washington
1995,7.3203, FL,Florida
1995,9.4848, GA,Georgia
1995,4.7178, HI,Hawaii
1995,4.1273, ID,Idaho
1995,10.3212, IL,Illinois
1995,8.0303, IN,Indiana
1995,1.7945, IA,Iowa
1995,6.1988, KS,Kansas
1995,7.1503, KY,Kentucky
1995,17.0428, LA,Louisiana
1995,2.0145, ME,Maine
1995,11.8207, MD,Maryland
1995,3.5726, MA,Massachusetts
1995,8.4616, MI,Michigan
1995,3.9479, MN,Minnesota
1995,12.9032, MS,Mississippi
1995,8.8092, MO,Missouri
1995,4.023, MT,Montana
1995,2.9322, NE,Nebraska
1995,10.6536, NV,Nevada
1995,1.8293, NH,New Hampshire
1995,5.1479, NJ,New Jersey
1995,8.7834, NM,New Mexico
1995,8.5465, NY,New York
1995,9.4093, NC,North Carolina
1995,0.936, ND,North Dakota
1995,5.3807, OH,Ohio
1995,12.2026, OK,Oklahoma
1995,4.107, OR,Oregon
1995,6.2541, PA,Pennsylvania
1995,7.9499, SC,South Carolina
1995,1.7833, SD,South Dakota
1995,10.5974, TN,Tennessee
1995,9.0419, TX,Texas
1995,3.8954, UT,Utah
1995,2.2222, VT,Vermont
1995,7.6005, VA,Virginia
1995,5.0635, WA,Washington
1995,4.8687, WV,West Virginia
1995,4.2748, WI,Wisconsin
1995,2.0833, WY,Wyoming
1996,10.3908, AL,Alabama
1996,7.4135, AK,Alaska
1996,8.514, AZ,Arizona
